RowID,Ano,Mes,Behavior,SocialCircumstances,GeneticsBiology,MedicalCare,HealthLiteracy,Access,Environment
01,2018,01,0.69,0.59,0.25,0.15,0.67,0.99,0.81
02,2018,02,0.15,0.23,0.7,0.81,0.39,0.84,1
03,2018,03,0.38,0.34,0.46,0.89,0.61,0.3,0.6
04,2018,04,0.33,0.83,0.89,0.22,0.88,0.55,0.25
05,2018,05,0.62,0.3,0.86,0.55,0.32,0.18,0.28
06,2018,06,0.33,0.34,0.89,0.93,0.89,0.74,0.73
07,2018,07,0.83,0.74,0.31,0.24,0.6,0.58,0.46
08,2018,08,0.93,0.29,0.69,0.36,0.24,0.48,0.39
09,2018,09,0.8,0.46,0.92,0.94,0.63,0.89,0.96
10,2018,10,0.77,0.37,0.6,0.33,0.57,0.41,0.33
11,2018,11,0.32,0.95,0.86,0.26,0.58,0.6,0.71
12,2018,12,0.52,0.59,0.21,0.19,0.43,0.88,0.69
